Ticker,Position,Date,Share Cost,Shares Sold,Shares Held
GNLX,10% Owner,"Sep 12, 2023",$22.26,"20,265","93,327"
CRDO,Pres & Chief Executive Officer,"Sep 12, 2023",$15.78,"15,000","4,032,421"
CRDO,Pres & Chief Executive Officer,"Sep 13, 2023",$15.48,"15,000","4,017,421"
SMAR,Director,"Sep 12, 2023",$44.72,"150,000",0
GILD,Chief Medical Officer,"Sep 12, 2023",$76.99,"1,501","70,130"
QCOM,Chief Technology Officer,"Sep 13, 2023",$113.23,"27,962","241,369"
STEP,10% Owner,"Sep 11, 2023",$31.42,"31,648","6,781,934"
STEP,10% Owner,"Sep 12, 2023",$31.64,"43,515","6,738,419"
STEP,10% Owner,"Sep 13, 2023",$31.76,"53,925","6,684,494"
SQSP,Chief Executive Officer,"Sep 11, 2023",$31.36,"18,813","4,360,879"
DIBS,Chief Financial Officer,"Sep 11, 2023",$4.25,"1,856","78,789"
DIBS,Chief Financial Officer,"Sep 12, 2023",$4.12,"1,857","76,932"
SPWH,10% Owner,"Sep 11, 2023",$3.32,"6,425","3,743,541"
DIBS,Chief Marketing Officer,"Sep 11, 2023",$4.25,955,"85,922"
DIBS,Chief Marketing Officer,"Sep 12, 2023",$4.12,955,"84,967"
DIBS,General Counsel,"Sep 11, 2023",$4.25,832,"57,073"
DIBS,General Counsel,"Sep 12, 2023",$4.12,831,"56,242"
DIBS,Chief Commercial Officer,"Sep 11, 2023",$4.25,734,"20,705"
DIBS,Chief Commercial Officer,"Sep 12, 2023",$4.12,734,"19,971"
DIBS,Chief Executive Officer,"Sep 11, 2023",$4.25,"2,532","1,529,768"
DIBS,Chief Executive Officer,"Sep 12, 2023",$4.12,"2,533","1,527,235"
DIBS,Chief People Officer,"Sep 11, 2023",$4.25,889,"43,601"
DIBS,Chief People Officer,"Sep 12, 2023",$4.12,889,"42,712"
OUST,General Counsel and Secretary,"Sep 12, 2023",$4.81,"2,614","99,575"
OUST,Chief Operating Officer,"Sep 12, 2023",$4.81,"3,802","262,024"
AMTX,Director,"Sep 12, 2023",$5.65,"15,000","30,141"
WING,SVP Corp Restaurants & CPO,"Sep 11, 2023",$165.15,"6,699",173
OUST,Chief Financial Officer,"Sep 12, 2023",$4.81,"2,514","177,345"
BOX,Chief Financial Officer,"Sep 11, 2023",$25.88,"13,000","1,507,165"
BOX,Chief Executive Officer,"Sep 11, 2023",$25.70,"10,000","3,068,653"
YELP,Chief Executive Officer,"Sep 08, 2023",$45.00,"10,000","2,122,010"
AGL,Chief Accounting Officer,"Sep 11, 2023",$18.61,"26,250","17,121"
PSX,Executive Vice President,"Sep 12, 2023",$124.41,"12,970","80,009"
HCP,Chief Revenue Officer,"Sep 12, 2023",$25.98,"10,000","146,335"
PLAY,Director,"Sep 12, 2023",$35.23,"6,470","33,546"
SEAT,Chief Technology Officer,"Sep 12, 2023",$6.77,"2,950","73,805"
SEAT,Chief Accounting Officer,"Sep 12, 2023",$6.77,730,"19,039"
GL,SVP & Chief Accounting Officer,"Sep 12, 2023",$110.37,"2,500",700
SEAT,Chief Strategy Officer,"Sep 12, 2023",$6.77,"2,063","47,644"
SSTI,See remarks,"Sep 11, 2023",$21.27,153,"46,666"
SSTI,SVP Public Safety Solutions,"Sep 11, 2023",$21.26,111,"31,318"
ON,Chief Accounting Officer,"Sep 11, 2023",$99.18,"2,795","32,050"
ON,Chief Accounting Officer,"Sep 12, 2023",$96.62,"1,005","31,045"
MMI,Chief Administrative Officer,"Sep 12, 2023",$32.09,"8,201","5,012"
